,Impulsivity,Reckless_behaviour,Blurting,Interrupting,Talkative,Difficulty_delaying_gratification,Difficulty_waiting_turn,Misjudged_time,Inattention,Fidgety,Restless,Difficulty_concentrating,Needed_deadlines,Irritable,Impatient,Stubborn,Bored,Difficulty_sleeping,Checking_for_mistakes,Difficult_to_touch_rubbish,Contamination_concerns,Performed_rituals,Compulsions_1,Checking,Try_to_prevent_harm,Checking_so_nothing_terrible_would_happen,Rituals_for_protection,Fear_of_mistakes,Perfectionism,Responsibility_to_ensure_everything_was_in_order,Very_strict_with_self,One_right_way_to_do_things,Upsetting_thoughts,Obsessive_thoughts,Compulsions_2,Fear_of_acting_on_compulsions,Guilt_about_obsessions,Thoughts_would_harm_other_people_unintentionally,Having_upsetting_thought_made_it_more_likely_to_happen,Repeat_words_to_stop_obsessions,Need_for_order,Strict_routine_doing_ordinary_things,Do_everything_exactly_right_leaving_home,Got_stuck_doing_routine_behaviours,Suicidal_ideation,Intrusive_thoughts_about_self_harm,Suicidal_ideation_and_plans,Told_someone_about_suicidality,Fear_of_fear,Sought_help_for_panic,Rush_of_fear_and_related_impairment,Fear_of_specific_situations,Claustrophobia,Safety_zone,Thought_might_be_dying,Afraid_of_physical_symptoms,Frightened_by_nausea,Fear_of_loss_of_control,Disconnected_or_detached,Racing_or_pounding_heart,Trembling,Feeling_anxious_,Fear,Avoidance_of_social_situations_1,Avoid_disagreeing_with_others,Concerns_about_being_observed_public_speaking,Tension_headaches_before_social_situations,Angry,Bad_temper,Guilt_about_anger,Felt_like_breaking_things,Anger_fixation,Resentful,Guilt_and_low_self_worth,Envy,Hostile,Loss_of_control_of_drinking,Using_larger_amounts_of_alcohol_than_intended,Fast_drinking_for_quick_effect,Drank_for_negative_affect,Drank_because_nothing_to_do,Drank_because_angry_with_self,Drank_because_lonely,Drank_because_annoyed,Drank_because_tense,Drank_because_of_physical_pain,Large_amounts_of_time_drinking,Used_drugs_to_get_high,Time_recovering_from_drugs,Drank_because_deserved_it,Drank_to_unwind,Depressed_mood,Felt__attacked,Paranoia__people_are_against_them_,Thoughts_of_people_trying_to_upset_deliberately,Olfactory_hallucination,Sense_of_unreality,Sense_of_danger_or_dread,Something_seriously_wrong_with_body,Lights_or_colours_seemed_brighter,Paranormal_experiences,Thought_insertion,Doubted_dreams_were_the_product_of_own_mind,Thought_broadcasting,Someone_something_playing_games_with_mind,Felt_part_of_body_did_not_belong,Paranoia__people_want_to_hurt_them,Paranoia__being_followed_or_observed,Auditory_hallucinations,Mistook_noises_for_voices,Ideas_of_reference,Special_powers,Felt_was_very_special,Had_a_sixth_sense,Heard_voices,Anxious_arousal_due_to_trauma,Dysphoria_due_to_trauma,Avoidance_of_cues_and_emotional_detachment,Self_blame_for_trauma,Trauma_amnesia,Reexperiencing_trauma,Social_interaction_concerns,Role_and_relationship_impairment_from_drug_use,Relationship_friction_around_drug_use,Urge_to_use_drugs,Money_problems_due_to_drug_use,Used_drugs_in_hazardous_situations,Prioritising_drug_use,Dependence_on_drugs,Withdrawal_from_drugs,Had_to_keep_taking_drugs_once_started,Used_drugs_after_deciding_not_to,Tolerance_to_drugs,More_drugs_than_intended_and_despite_psychological_problems,Suicidal_plans,Hopelessness,Suicidal_thoughts__better_off_dead,Unafraid_of_dying,Worry_about_panic,Fear_of_leaving_the_house_alone,Nervous_or_anxious,Panic_episode,Afraid_would_have_a_heart_attack_stroke_suffocate_or_die,Chest_pain,Felt_could_not_breathe,Dizzy_or_lightheaded,Feared_fainting,Avoidance_of_social_situations_2,Avoidance_of_crowded_places,Fear_of_negative_evaluation,Fear_of_being_centre_of_attention,Drinking_large_amounts,Felt_should_cut_down_drinking,Anhedonia,Felt_like_a_failure
One_right_way_to_do_things,0.292450901,0.26083496,0.308479494,0.272194689,0.222468468,0.282966242,0.31665441,0.275340612,0.371748718,0.319667919,0.320334216,0.338239491,0.246919789,0.342059747,0.360477164,0.336959988,0.293838034,0.26870241,0.555892226,0.336826077,0.406082235,0.348643341,0.500672274,0.35579807,0.404401354,0.408497519,0.306804081,0.567203015,0.636083208,0.530941144,0.471913012,1,0.4754406,0.424212942,0.382243938,0.433968452,0.425489664,0.323096557,0.390149476,0.329258687,0.504899832,0.484471884,0.390694735,0.417216081,0.248286599,0.324937845,0.26746627,0.150901238,0.318094326,0.22322051,0.366719222,0.363003128,0.261149403,0.284377568,0.301637515,0.338753825,0.277729748,0.354159617,0.29527363,0.29369432,0.268126653,0.357410747,0.369489435,0.346591943,0.312036736,0.409328507,0.293865403,0.32144287,0.303857353,0.283412864,0.256317317,0.33988954,0.381840463,0.34115878,0.281593823,0.35056326,0.170669926,0.142912642,0.161627678,0.173454577,0.151985347,0.197563177,0.149392797,0.169721664,0.187138347,0.122603549,0.125455367,0.143027162,0.075819404,0.134386155,0.090640095,0.340192947,0.229083876,0.369738881,0.294432952,0.181760105,0.290886095,0.264413793,0.26877041,0.232312533,0.250385885,0.197107262,0.182776934,0.296845226,0.241307109,0.189970028,0.277657675,0.273093227,0.203359272,0.174642946,0.212155915,0.209654599,0.224688116,0.169325907,0.213623515,0.278683605,0.259676419,0.283001694,0.231799102,0.217284582,0.266559716,0.372285995,0.138141953,0.137220651,0.121682699,0.117034451,0.137480069,0.146677109,0.170351202,0.08793741,0.114366819,0.072283475,0.140046288,0.101499076,0.247783315,0.321431563,0.312509108,0.152409497,0.316012252,0.276255415,0.316857676,0.342524783,0.259967617,0.255601541,0.286788588,0.248804269,0.232499221,0.291251522,0.317639987,0.409804576,0.370235369,0.10973071,0.095081522,0.316620486,0.30700401
Upsetting_thoughts,0.414218301,0.392161853,0.473308658,0.364386303,0.332528775,0.437465887,0.410690428,0.410564914,0.6171783,0.506072694,0.421691135,0.60279679,0.367555194,0.514744967,0.514165352,0.400561659,0.441131751,0.479537719,0.594790501,0.334909294,0.385423679,0.369321095,0.53484781,0.369653053,0.454414571,0.437910015,0.34517976,0.706287448,0.583685472,0.480353935,0.508377136,0.4754406,1,0.604615732,0.451022913,0.660898781,0.583258816,0.412343159,0.544781341,0.465402913,0.503164689,0.443218467,0.388311394,0.445545975,0.482562653,0.534845193,0.498643516,0.283666183,0.548608159,0.350733472,0.658280817,0.575957328,0.372798431,0.436018582,0.490489853,0.524206876,0.421671148,0.634877279,0.570210661,0.50394254,0.447602672,0.658789481,0.640171745,0.557280873,0.435842356,0.596331467,0.442804495,0.502662252,0.412058934,0.402043436,0.420482702,0.519426336,0.547563735,0.590002733,0.414240457,0.39824549,0.240485487,0.187554255,0.234461299,0.3002289,0.193141399,0.288579884,0.221085731,0.261770939,0.269545841,0.169826656,0.197694347,0.249247139,0.204711105,0.161687914,0.080757465,0.637048263,0.291489128,0.529794021,0.377227295,0.221030337,0.426300919,0.425687857,0.374101635,0.309582287,0.352463759,0.306808529,0.270527829,0.420550833,0.297359141,0.265442788,0.380977278,0.375985782,0.300868537,0.245479803,0.258870951,0.249777744,0.272856346,0.201954497,0.30990942,0.471630438,0.47046311,0.488226818,0.405875665,0.360101358,0.488967357,0.586088081,0.274946441,0.248674743,0.263132445,0.218941374,0.16254911,0.214991528,0.297618205,0.153311393,0.21092691,0.224844533,0.217428978,0.268000915,0.431262722,0.621034938,0.559111348,0.2877796,0.497420365,0.415124322,0.563237967,0.597968516,0.378302745,0.424073821,0.463722067,0.455119017,0.354938174,0.49075039,0.470202073,0.57409825,0.540696451,0.157274143,0.113527532,0.598525842,0.567438613
Obsessive_thoughts,0.334628776,0.317907771,0.379588124,0.31301476,0.257340035,0.353415251,0.341963823,0.311245974,0.459430552,0.390453417,0.347390114,0.439727538,0.291306379,0.385205298,0.385207662,0.33193361,0.362400157,0.328424482,0.542978523,0.360425161,0.387646922,0.382993567,0.52141618,0.391153,0.393144838,0.397699775,0.362025052,0.578973022,0.53633168,0.410670601,0.448066731,0.424212942,0.604615732,1,0.414435503,0.524472964,0.453366238,0.367586564,0.478866401,0.414997371,0.463608755,0.440058271,0.382532676,0.422996386,0.317345508,0.41342642,0.333567182,0.21908813,0.399323843,0.282667315,0.475983723,0.423331422,0.290278202,0.344509221,0.387571574,0.393069231,0.324782898,0.469844197,0.388470262,0.376675094,0.324664621,0.465797497,0.464693071,0.414244814,0.347472277,0.449330726,0.340110066,0.376716924,0.328055678,0.304145518,0.336018185,0.420915256,0.439380276,0.41365439,0.336115241,0.345272282,0.212724346,0.181762275,0.213476192,0.228687653,0.179835566,0.262902424,0.175174257,0.211019276,0.243366411,0.161890949,0.187404415,0.240559106,0.188829667,0.140608012,0.084386217,0.422600979,0.232296538,0.405347184,0.324254779,0.189869196,0.382947813,0.326358583,0.291342658,0.285000688,0.302625231,0.257443971,0.248992469,0.357523249,0.283409325,0.228174341,0.30192006,0.335200819,0.256266071,0.221287828,0.24449585,0.24744865,0.270037171,0.170468163,0.276027083,0.333266497,0.310139809,0.333787345,0.296754062,0.25266256,0.331096652,0.434414586,0.276311367,0.189158471,0.241153376,0.181457438,0.102726053,0.200968992,0.242236948,0.122073604,0.213911234,0.22098815,0.203682148,0.253638907,0.294390149,0.402817352,0.36512848,0.183841731,0.367793482,0.321335424,0.396355337,0.444139214,0.291919882,0.296918307,0.357237513,0.327688656,0.267453705,0.362757189,0.361381478,0.432410494,0.407930911,0.157569846,0.119648061,0.385749542,0.381720196
Compulsions_2,0.286170004,0.314869975,0.316628646,0.239583273,0.194744873,0.313925697,0.283963458,0.274401379,0.344501894,0.314883422,0.296857939,0.334707944,0.21561588,0.269409073,0.286921683,0.240560628,0.296317878,0.252924199,0.436116925,0.300249979,0.336700074,0.415566363,0.508906586,0.360084803,0.408655052,0.404963067,0.400377215,0.432848548,0.424724296,0.334761666,0.361259175,0.382243938,0.451022913,0.414435503,1,0.498210747,0.390737685,0.394760216,0.433837039,0.424415297,0.399563486,0.445008507,0.419229837,0.471264029,0.282008889,0.401181933,0.284710888,0.190055953,0.320701308,0.252903217,0.364779005,0.340316943,0.24627166,0.281075381,0.346422279,0.315981029,0.313584179,0.404043804,0.344150996,0.288794028,0.247286219,0.325249735,0.351562779,0.323656714,0.286468736,0.354409456,0.303980073,0.269919638,0.238840439,0.23810341,0.256679399,0.283535859,0.305120492,0.332968918,0.244641806,0.238616356,0.20838833,0.173003507,0.220406914,0.211761753,0.20144931,0.273813644,0.180787726,0.19977998,0.210578048,0.17878326,0.199097835,0.126266012,0.10816141,0.139148832,0.089778914,0.328421733,0.230577738,0.335342048,0.272088031,0.17887074,0.311965669,0.279837696,0.262208107,0.244405402,0.28809961,0.303713519,0.279780425,0.335060107,0.283593791,0.255484595,0.282763583,0.295804489,0.255404656,0.22061816,0.22533046,0.238652666,0.19504961,0.174075157,0.272198162,0.296620596,0.285763377,0.305744569,0.278501308,0.262127588,0.277691354,0.341616456,0.195425908,0.168245858,0.188808299,0.085352346,0.142368319,0.130547652,0.172621494,0.082791408,0.12916362,0.115011417,0.116756676,0.166229731,0.275898549,0.309277916,0.30208074,0.16118467,0.325031263,0.314904562,0.280647175,0.34600535,0.280541436,0.276630413,0.328950217,0.263791514,0.28098212,0.288696652,0.284174168,0.354651194,0.323536575,0.152636069,0.140986227,0.30648005,0.297684759
Fear_of_acting_on_compulsions,0.402434322,0.414975152,0.434265833,0.319479334,0.282959084,0.391184969,0.35076714,0.371066235,0.508451476,0.424854342,0.371087814,0.486990409,0.30825926,0.428932491,0.436125631,0.356916654,0.410025381,0.366157083,0.549017522,0.325606427,0.410760364,0.387500067,0.541563621,0.373416549,0.486075526,0.475805728,0.385427153,0.61124459,0.51077688,0.423353041,0.461707625,0.433968452,0.660898781,0.524472964,0.498210747,1,0.567483082,0.516365132,0.551679873,0.470588724,0.453385521,0.444633366,0.400892558,0.445867747,0.432219984,0.539038462,0.458755437,0.302361752,0.466992456,0.315743982,0.539641146,0.498644012,0.351629553,0.381042745,0.464243401,0.434836177,0.38118607,0.567364189,0.469856631,0.406958297,0.38175367,0.505720331,0.525752139,0.468478449,0.387947794,0.514807704,0.390523552,0.424102669,0.372419339,0.370174996,0.400808097,0.427509349,0.478232891,0.517083323,0.353798845,0.362255579,0.217858295,0.184743,0.215059319,0.272231249,0.203966348,0.281372231,0.192539153,0.249020558,0.231253942,0.182734588,0.187782237,0.258803329,0.236665054,0.171289975,0.095616556,0.508514167,0.299173494,0.509282668,0.378017118,0.233707559,0.424731509,0.396465814,0.343828421,0.304481613,0.364374068,0.329869588,0.300349179,0.429228888,0.318845828,0.270728664,0.41990086,0.411943337,0.315705105,0.271475268,0.249228559,0.279963446,0.275324767,0.215162703,0.330668285,0.440266245,0.413458152,0.446332627,0.416463963,0.336768102,0.424009218,0.488683945,0.311232257,0.277916258,0.24163967,0.220156034,0.215864102,0.228038748,0.298535911,0.152145406,0.241085044,0.256800034,0.225884292,0.299188833,0.424505278,0.50493302,0.482979393,0.270030743,0.431213734,0.377996732,0.424878402,0.500459976,0.353003952,0.361319268,0.435779663,0.372635186,0.331286287,0.407100156,0.402373343,0.506935196,0.47336592,0.153767975,0.096898425,0.463778661,0.47530913
Guilt_about_obsessions,0.293264142,0.301012571,0.367046961,0.273358064,0.230659858,0.332016962,0.300036139,0.298161497,0.434882238,0.350724202,0.284940481,0.410454913,0.260373875,0.396674058,0.374009505,0.329365537,0.333946659,0.316923312,0.475866801,0.283891757,0.332008458,0.312013677,0.428711952,0.290198012,0.402766546,0.380575686,0.315205462,0.587611181,0.478641312,0.379866206,0.447847303,0.425489664,0.583258816,0.453366238,0.390737685,0.567483082,1,0.404098193,0.506413923,0.39270211,0.417632635,0.382755263,0.340524434,0.356956755,0.384751777,0.459882968,0.395777171,0.250622152,0.411755784,0.294022399,0.477926529,0.445015865,0.298470637,0.327671624,0.394835646,0.404172139,0.333223565,0.487212556,0.414641802,0.361719908,0.313791089,0.461992666,0.477007073,0.433401621,0.372828396,0.495981067,0.357945219,0.385639019,0.347351818,0.370280618,0.323145483,0.392689835,0.425905627,0.499376955,0.35105229,0.329838964,0.191295999,0.180147733,0.209432426,0.241702198,0.170178825,0.263928578,0.178821522,0.22861249,0.235062575,0.162056095,0.165867827,0.20074212,0.175503277,0.137721943,0.078121211,0.468773371,0.240365669,0.445655356,0.346767569,0.182669087,0.368003038,0.354527408,0.293274864,0.252945791,0.312577155,0.28477558,0.228180757,0.355943996,0.270377604,0.228928681,0.341938823,0.339530875,0.267346289,0.249586711,0.218433647,0.231199038,0.243622115,0.181824537,0.293650992,0.358252129,0.348382194,0.38042706,0.352861563,0.295144637,0.36018587,0.463749193,0.253732923,0.204576858,0.207588586,0.155383127,0.125515552,0.164535282,0.206973673,0.110565265,0.169124045,0.182757335,0.172791203,0.222842389,0.351856436,0.463896161,0.446081425,0.204817997,0.388283759,0.361763724,0.402619907,0.447775589,0.310012846,0.318880549,0.389549116,0.31419345,0.296423854,0.377036384,0.373690121,0.492561312,0.445484051,0.158295548,0.102883303,0.423586188,0.457799839
Thoughts_would_harm_other_people_unintentionally,0.228895697,0.305305352,0.285585918,0.208832998,0.20288547,0.256271343,0.256369687,0.227111056,0.321624698,0.267092634,0.239607252,0.293129278,0.19751009,0.285711792,0.283135013,0.263481305,0.258263577,0.227681408,0.390417765,0.250433719,0.312126592,0.306620575,0.390811323,0.301183125,0.395487723,0.378385856,0.341267554,0.423787381,0.362247996,0.279165993,0.32512596,0.323096557,0.412343159,0.367586564,0.394760216,0.516365132,0.404098193,1,0.373129241,0.363978667,0.322548731,0.342247243,0.305784994,0.329804028,0.297705816,0.411400547,0.326151465,0.210780793,0.289167677,0.228783832,0.337373127,0.334561177,0.250059224,0.245956741,0.312411966,0.28831047,0.267063244,0.363910797,0.303204973,0.265166148,0.272874238,0.300066484,0.320728107,0.305696619,0.236504596,0.335490985,0.254811828,0.290479173,0.267040399,0.253907254,0.292094776,0.294391904,0.310342655,0.322576149,0.229264704,0.258356527,0.158132376,0.134578579,0.180939496,0.164759747,0.154474,0.20052929,0.148600225,0.167512229,0.168684231,0.166575909,0.16664499,0.187316565,0.241184668,0.149644012,0.090104051,0.306023638,0.241438971,0.339244886,0.275247464,0.192365711,0.313315925,0.294960097,0.234631062,0.244112126,0.270945164,0.262145366,0.253126298,0.292982129,0.281589812,0.224056483,0.315086911,0.329481006,0.238450774,0.221466022,0.205638925,0.209836904,0.215152564,0.146438128,0.265310317,0.292317372,0.26111192,0.28321033,0.270096047,0.243069637,0.266709533,0.323967628,0.253673978,0.245726756,0.22405052,0.212547536,0.136161271,0.195619587,0.246384231,0.174432799,0.20383543,0.164228581,0.195881211,0.230335826,0.300939956,0.30873369,0.326405114,0.19066449,0.263458714,0.254291497,0.252951064,0.311110094,0.245252831,0.240201112,0.301296857,0.253577679,0.237397929,0.263912339,0.270077681,0.333198539,0.315826707,0.128785003,0.075675207,0.264790788,0.282582291
Having_upsetting_thought_made_it_more_likely_to_happen,0.295143493,0.319177914,0.356746452,0.279982074,0.236152032,0.335285936,0.308790064,0.300405475,0.420630075,0.360233352,0.311890295,0.399481001,0.253278748,0.353670466,0.351482652,0.289488644,0.323941233,0.30361135,0.483169782,0.335594016,0.376617161,0.386389565,0.49524059,0.355038877,0.44262338,0.427376408,0.38826669,0.534414287,0.469735669,0.393563536,0.425414949,0.390149476,0.544781341,0.478866401,0.433837039,0.551679873,0.506413923,0.373129241,1,0.440355931,0.419309462,0.411621175,0.400172149,0.417390692,0.328286914,0.42364039,0.343583609,0.22089478,0.374420569,0.28918482,0.445643114,0.414435697,0.287517096,0.308974561,0.385606371,0.38328335,0.339618326,0.434014327,0.383418093,0.359645245,0.336722114,0.423762812,0.439451406,0.384507826,0.327471048,0.432907658,0.353963023,0.342083269,0.304127775,0.286380473,0.306943118,0.357056686,0.395997806,0.398171961,0.297432858,0.296000174,0.173489509,0.157306931,0.206070703,0.192134423,0.156576809,0.229971816,0.156636948,0.19299182,0.21208687,0.134561696,0.157287249,0.240573948,0.192362427,0.127961247,0.078094287,0.402956714,0.242495127,0.401180777,0.317255627,0.210447563,0.369325565,0.341281681,0.290976476,0.273193502,0.312538034,0.292682611,0.28125876,0.364500152,0.281349016,0.237586378,0.307345833,0.330545104,0.270557618,0.232002475,0.277147147,0.292656044,0.255531158,0.228284612,0.284716731,0.342299402,0.325508829,0.34938578,0.319706152,0.280671868,0.342786235,0.400622924,0.270500643,0.212344394,0.229865939,0.18045679,0.162748444,0.200646514,0.254047861,0.150675357,0.160364269,0.193989242,0.193779571,0.242165667,0.312482024,0.389000372,0.371806519,0.185378762,0.368926626,0.318150173,0.364706976,0.411752406,0.307549557,0.301432172,0.356245573,0.339883888,0.296758451,0.338092504,0.349560356,0.421468739,0.401895832,0.14653244,0.091207308,0.367213039,0.374856
Repeat_words_to_stop_obsessions,0.248084601,0.293726042,0.307495343,0.225928908,0.201212196,0.2694229,0.279332212,0.266584461,0.3632571,0.316186822,0.287124243,0.338263977,0.208287597,0.317301075,0.313841369,0.290094857,0.299459028,0.250365489,0.424956175,0.284142724,0.328183901,0.388389195,0.462733953,0.335664471,0.374117,0.371440794,0.41839528,0.433750582,0.381874846,0.292651751,0.337711866,0.329258687,0.465402913,0.414997371,0.424415297,0.470588724,0.39270211,0.363978667,0.440355931,1,0.386260077,0.397978169,0.364843755,0.39628676,0.26387032,0.378112293,0.27389716,0.192202541,0.352461655,0.273315291,0.385799567,0.357812199,0.275801662,0.290814448,0.362938143,0.346395778,0.314515553,0.394543166,0.356588782,0.310310775,0.281618499,0.346884729,0.372321482,0.312314473,0.252383037,0.341307349,0.289240144,0.314601009,0.276774251,0.257048215,0.321124763,0.316772893,0.347374974,0.319147092,0.238264181,0.264177384,0.191580966,0.158856627,0.190563683,0.204724236,0.16763664,0.228248555,0.161694295,0.200388811,0.220502673,0.159372521,0.182220208,0.170258909,0.121380309,0.151718636,0.092083528,0.328492241,0.23674915,0.364001977,0.286144397,0.211205779,0.349421305,0.27242316,0.248109056,0.285234662,0.328941335,0.313345359,0.314235464,0.342155418,0.317152493,0.290893966,0.271300796,0.316476661,0.276960954,0.254727474,0.302531824,0.309170033,0.243026565,0.208982911,0.329635984,0.319811272,0.297987128,0.317520718,0.2833158,0.252734534,0.305890337,0.328920416,0.223738163,0.202863536,0.19398978,0.132598984,0.15413799,0.1773312,0.203869191,0.106010449,0.187778991,0.16934832,0.18231388,0.238045677,0.269086433,0.322767368,0.305598083,0.155581891,0.332132403,0.335315355,0.316279126,0.384880569,0.277968035,0.288945276,0.353314078,0.297630848,0.289958209,0.281872492,0.272678665,0.334421208,0.310793087,0.144173214,0.094087898,0.311738841,0.296907192
Need_for_order,0.277254547,0.263680726,0.357415499,0.269093059,0.243160832,0.284728483,0.322802086,0.298530011,0.412603316,0.399454343,0.371869252,0.407778133,0.277614266,0.355656999,0.378846105,0.299457879,0.334113585,0.279159639,0.566058369,0.357076324,0.450758629,0.389588527,0.559638897,0.402844857,0.41530679,0.437905324,0.345960794,0.556465654,0.604581259,0.485070604,0.487689457,0.504899832,0.503164689,0.463608755,0.399563486,0.453385521,0.417632635,0.322548731,0.419309462,0.386260077,1,0.508952453,0.460778286,0.504435364,0.254368009,0.338076837,0.264222562,0.175052621,0.377015739,0.250245981,0.422463829,0.404762432,0.284520796,0.309162687,0.327824041,0.354659338,0.305023214,0.39988841,0.348343533,0.327958274,0.321647559,0.403577974,0.419781251,0.393707748,0.319949087,0.436517104,0.333837863,0.347873523,0.289461983,0.293824361,0.268866945,0.340597454,0.379383994,0.366210346,0.274758347,0.318565955,0.142820967,0.105593648,0.156802525,0.183868446,0.127872313,0.206701449,0.127347388,0.193711545,0.201055677,0.110999272,0.121027296,0.182007514,0.102191402,0.114160874,0.054503177,0.369492396,0.2072776,0.357635477,0.26501672,0.162362255,0.285811936,0.282900297,0.250576898,0.238192017,0.2645871,0.233906644,0.219586838,0.290028715,0.213085718,0.208069521,0.241212976,0.29289673,0.199720736,0.148863252,0.212247243,0.199211697,0.193809548,0.174666274,0.19788784,0.320550012,0.300017239,0.331966563,0.256568565,0.245568712,0.300581241,0.416143407,0.171449167,0.173191982,0.149742494,0.101989964,0.135688167,0.158599312,0.187385128,0.099152371,0.151344142,0.150452053,0.150665633,0.188163256,0.244864451,0.337477512,0.312462718,0.146386072,0.354283143,0.320910766,0.367503069,0.39903415,0.281493724,0.297923764,0.331950709,0.288706371,0.268866051,0.351384521,0.343040544,0.42422661,0.405675666,0.088801876,0.054698611,0.342632382,0.327837876
Strict_routine_doing_ordinary_things,0.25425115,0.245706725,0.303342261,0.23874109,0.190386741,0.248948723,0.295093069,0.24225959,0.348630471,0.33270281,0.316785178,0.31515457,0.233628003,0.28880995,0.305958817,0.261396232,0.286686765,0.259585511,0.551452715,0.364644798,0.427420462,0.457447094,0.565375675,0.421634106,0.426494642,0.461894494,0.402254927,0.499185053,0.555475566,0.432184238,0.490038151,0.484471884,0.443218467,0.440058271,0.445008507,0.444633366,0.382755263,0.342247243,0.411621175,0.397978169,0.508952453,1,0.48753887,0.504264682,0.211501144,0.313657611,0.235841438,0.158879657,0.345397446,0.251428382,0.360590575,0.359492561,0.288140989,0.294231856,0.32810497,0.330286744,0.292473023,0.349400982,0.324245323,0.293679873,0.284681808,0.341465094,0.371186707,0.340625031,0.282779953,0.377410669,0.30816015,0.274170273,0.240718241,0.235133168,0.263934672,0.284250456,0.330878385,0.318822508,0.251271405,0.276445852,0.15043235,0.134814364,0.168458456,0.164044793,0.147952078,0.218910317,0.147294221,0.163194283,0.176343797,0.154751207,0.162718752,0.190980011,0.146920179,0.119338055,0.06370397,0.311552271,0.207076067,0.353140768,0.268521072,0.177770476,0.302977312,0.258493692,0.25392785,0.230164075,0.287850718,0.267567115,0.243416849,0.315524141,0.243908901,0.223661449,0.277589766,0.278370719,0.236390424,0.208302488,0.253289945,0.236063497,0.247583471,0.166908072,0.229420448,0.267984737,0.248688088,0.277735658,0.227282474,0.233815941,0.241851692,0.354694862,0.183816335,0.165472454,0.212252924,0.13988004,0.161129652,0.182653077,0.217583837,0.133436141,0.170959272,0.166995705,0.163791411,0.17328544,0.221115222,0.291132789,0.278778599,0.147358429,0.333504574,0.310574393,0.296371931,0.341287423,0.248584997,0.248387152,0.31568457,0.274886323,0.262408165,0.298202212,0.306765347,0.372371675,0.355856906,0.125422626,0.07617985,0.286679623,0.286707884
Do_everything_exactly_right_leaving_home,0.246958284,0.264689009,0.281671595,0.245557097,0.214264781,0.282935119,0.27787176,0.274937971,0.326119766,0.319178139,0.312920516,0.328224156,0.225677483,0.272299517,0.270035393,0.263647442,0.26114031,0.234282795,0.471874219,0.369880177,0.423968368,0.399793932,0.494797024,0.440607149,0.390356908,0.42011831,0.382854282,0.433284818,0.476316414,0.364011167,0.422489911,0.390694735,0.388311394,0.382532676,0.419229837,0.400892558,0.340524434,0.305784994,0.400172149,0.364843755,0.460778286,0.48753887,1,0.477658793,0.203933397,0.300435278,0.22541457,0.159222009,0.332182795,0.22014514,0.34853952,0.360270337,0.264187544,0.308699169,0.313190211,0.330881192,0.297845415,0.322742025,0.294323811,0.299662857,0.283528784,0.327656703,0.362325448,0.310799403,0.269040479,0.351536433,0.333885058,0.260278152,0.223064178,0.23585006,0.243650432,0.267540073,0.305968309,0.313425822,0.24872814,0.238420136,0.147004638,0.128333604,0.139267972,0.176235937,0.134399958,0.20212811,0.162203019,0.158784449,0.173554515,0.147852496,0.139232382,0.167078934,0.15503742,0.087799194,0.056485694,0.305453567,0.20609454,0.305463601,0.259235591,0.1612752,0.258718442,0.245380904,0.253504784,0.24395707,0.25082318,0.239097348,0.239059865,0.283522012,0.250781971,0.224948781,0.262842791,0.302305532,0.209250703,0.191887077,0.22724919,0.221514162,0.186797022,0.146159812,0.212213866,0.297254955,0.260711453,0.284002434,0.223507984,0.221900184,0.278355465,0.322915823,0.194419336,0.179108128,0.219630381,0.14871473,0.14490368,0.189818881,0.197313224,0.172602403,0.191705858,0.159130418,0.139487539,0.223318695,0.208562998,0.270633695,0.245617796,0.102174671,0.320251917,0.305142158,0.288648794,0.336319328,0.279992461,0.277434768,0.306383502,0.289540084,0.304916485,0.268680768,0.290977484,0.327503063,0.322057056,0.089820305,0.081829466,0.283679586,0.292099497
